,Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,State
5215,SCHOOL_9,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification inadequately described (%),1.0,,0.6,,,,,0.5,,,Northern Territory
5216,SCHOOL_10,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification not stated (%),15.3,,17.5,,,,,12.5,,,Northern Territory
5217,FIELD_2,Non-school qualification: field of study - Persons aged 15 years and over - Census,Natural and physical sciences (%),2.1,,1.9,,,,,2.1,,,Northern Territory
5218,FIELD_3,Non-school qualification: field of study - Persons aged 15 years and over - Census,Information technology (%),1.8,,1.7,,,,,2.3,,,Northern Territory
5219,FIELD_4,Non-school qualification: field of study - Persons aged 15 years and over - Census,Engineering and related technologies (%),15.1,,15.1,,,,,13.4,,,Northern Territory
5220,FIELD_5,Non-school qualification: field of study - Persons aged 15 years and over - Census,Architecture and building (%),4.9,,4.8,,,,,4.2,,,Northern Territory
5221,FIELD_6,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Agriculture, environmental and related studies (%)",2.7,,2.3,,,,,2.6,,,Northern Territory
5222,FIELD_7,Non-school qualification: field of study - Persons aged 15 years and over - Census,Health (%),8.4,,8.5,,,,,10.6,,,Northern Territory
5223,FIELD_8,Non-school qualification: field of study - Persons aged 15 years and over - Census,Education (%),7.2,,6.7,,,,,7.6,,,Northern Territory
5224,FIELD_9,Non-school qualification: field of study - Persons aged 15 years and over - Census,Management and commerce (%),13.2,,13.4,,,,,16.4,,,Northern Territory
5225,FIELD_10,Non-school qualification: field of study - Persons aged 15 years and over - Census,Society and culture (%),9.5,,10.0,,,,,11.7,,,Northern Territory
5226,FIELD_11,Non-school qualification: field of study - Persons aged 15 years and over - Census,Creative arts (%),2.1,,1.9,,,,,2.2,,,Northern Territory
5227,FIELD_12,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Food, hospitality and personal services (%)",4.6,,4.2,,,,,4.5,,,Northern Territory
5228,FIELD_13,Non-school qualification: field of study - Persons aged 15 years and over - Census,Mixed field programmes (%),0.2,,0.3,,,,,0.1,,,Northern Territory
5229,FIELD_15,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study inadequately described (%),1.3,,1.3,,,,,1.4,,,Northern Territory
5230,FIELD_16,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study not stated (%),26.9,,27.9,,,,,20.9,,,Northern Territory
5244,LF_4,Labour force status - Persons aged 15 years and over - Census,Unemployment rate (%),5.3,,7.0,,,,,5.6,,,Northern Territory
5426,QUALMIG_2,Level of highest educational attainment of persons born overseas - Census,Postgraduate degree level (%),,,8.2,,,,,13.4,,,Northern Territory
5427,QUALMIG_3,Level of highest educational attainment of persons born overseas - Census,Graduate diploma and graduate certificate level (%),,,2.3,,,,,2.7,,,Northern Territory
5428,QUALMIG_4,Level of highest educational attainment of persons born overseas - Census,Bachelor degree level (%),,,22.4,,,,,25.0,,,Northern Territory
5429,QUALMIG_5,Level of highest educational attainment of persons born overseas - Census,Advanced diploma and diploma level (%),,,10.6,,,,,10.6,,,Northern Territory
5430,QUALMIG_6,Level of highest educational attainment of persons born overseas - Census,Certificate level (%),,,15.1,,,,,12.7,,,Northern Territory
5431,QUALMIG_7,Level of highest educational attainment of persons born overseas - Census,School education level (%),,,32.3,,,,,28.1,,,Northern Territory
5432,QUALMIG_8,Level of highest educational attainment of persons born overseas - Census,Education not stated (%),,,4.7,,,,,3.7,,,Northern Territory
5446,LFMIG_5,Labour force status of persons born overseas - Persons aged 15 years and over - Census,Unemployment rate (%),,,4.3,,,,,3.2,,,Northern Territory
